tier,name,phone,address,city,category,website,rating,reviews,maps_url,place_id,checked_tier,reason
no_website,Rivera & Sons Plumbing,(732) 555-0100,"311 Suydam St, New Brunswick, NJ 08901",New Brunswick,Plumber,,4.8,214,https://www.google.com/maps/search/?api=1&query=Rivera%20%26%20Sons%20Plumbing&query_place_id=ChIJd8Zl1kTGw4kRDemoPlumb001,ChIJd8Zl1kTGw4kRDemoPlumb001,,No website listed on Google Maps at all.
no_website,Drain Right Sewer Service,(732) 555-0101,"78 Jersey Ave, New Brunswick, NJ 08901",New Brunswick,Plumber,,4.6,158,https://www.google.com/maps/search/?api=1&query=Drain%20Right%20Sewer%20Service&query_place_id=ChIJq2Xw3kTGw4kRDemoPlumb002,ChIJq2Xw3kTGw4kRDemoPlumb002,,No website listed on Google Maps at all.
no_website,Kowalski Plumbing & Heating,(732) 555-0102,"452 Livingston Ave, New Brunswick, NJ 08901",New Brunswick,Plumber,,4.9,97,https://www.google.com/maps/search/?api=1&query=Kowalski%20Plumbing%20%26%20Heating&query_place_id=ChIJk9Yp7mTGw4kRDemoPlumb003,ChIJk9Yp7mTGw4kRDemoPlumb003,,No website listed on Google Maps at all.
needs_check,Garden State Drain Pros,(732) 555-0103,"1120 Livingston Ave, North Brunswick, NJ 08902",North Brunswick,Plumber,http://www.gardenstatedrainpros.com,4.7,132,https://www.google.com/maps/search/?api=1&query=Garden%20State%20Drain%20Pros&query_place_id=ChIJt5Rn2pTGw4kRDemoPlumb004,ChIJt5Rn2pTGw4kRDemoPlumb004,dead_site,Their domain no longer resolves - the site Google links to is unreachable in any browser.
social_only,Marcelo's Plumbing LLC,(848) 555-0104,"19 Remsen Ave, New Brunswick, NJ 08901",New Brunswick,Plumber,https://www.facebook.com/marcelosplumbingnj,4.5,88,https://www.google.com/maps/search/?api=1&query=Marcelo's%20Plumbing%20LLC&query_place_id=ChIJb3Fm8qTGw4kRDemoPlumb005,ChIJb3Fm8qTGw4kRDemoPlumb005,,"The only web presence Google lists is a social page, not a site of their own."
social_only,Hub City Rooter,(732) 555-0105,"287 Handy St, New Brunswick, NJ 08901",New Brunswick,Drainage service,https://www.instagram.com/hubcityrooter,4.3,61,https://www.google.com/maps/search/?api=1&query=Hub%20City%20Rooter&query_place_id=ChIJn7Qs4rTGw4kRDemoPlumb006,ChIJn7Qs4rTGw4kRDemoPlumb006,,"The only web presence Google lists is a social page, not a site of their own."
free_host,AquaFlow Plumbing Services,(732) 555-0106,"640 Somerset St, New Brunswick, NJ 08901",New Brunswick,Plumber,https://aquaflownj.wixsite.com/home,4.4,53,https://www.google.com/maps/search/?api=1&query=AquaFlow%20Plumbing%20Services&query_place_id=ChIJv1Wt6sTGw4kRDemoPlumb007,ChIJv1Wt6sTGw4kRDemoPlumb007,,"Site sits on a free subdomain, with the host's branding in their address."
needs_check,Bianchi Bros Plumbing,(732) 555-0107,"95 Church St, New Brunswick, NJ 08901",New Brunswick,Plumber,http://www.bianchibrosplumbing.com,4.6,176,https://www.google.com/maps/search/?api=1&query=Bianchi%20Bros%20Plumbing&query_place_id=ChIJx4Hu8tTGw4kRDemoPlumb008,ChIJx4Hu8tTGw4kRDemoPlumb008,very_dated,"No mobile version (no viewport tag in the page source), still on http so Chrome shows ""Not secure"" to every visitor, and the footer copyright still reads 2014."
needs_check,Milltown Plumbing Supply & Service,(732) 555-0110,"410 Ryders Ln, Milltown, NJ 08850",Milltown,Plumber,https://www.milltownplumbing.com,4.5,149,https://www.google.com/maps/search/?api=1&query=Milltown%20Plumbing%20Supply%20%26%20Service&query_place_id=ChIJc0Lx4wTGw4kRDemoPlumb011,ChIJc0Lx4wTGw4kRDemoPlumb011,somewhat_dated,"Mobile version exists but half the photos are broken links, and the specials page was last updated in 2021."
needs_check,Raritan Valley Mechanical,(908) 555-0108,"2101 Woodbridge Ave, Edison, NJ 08817",Edison,Plumber,https://www.raritanvalleymechanical.com,4.2,84,https://www.google.com/maps/search/?api=1&query=Raritan%20Valley%20Mechanical&query_place_id=ChIJz6Jv0uTGw4kRDemoPlumb009,ChIJz6Jv0uTGw4kRDemoPlumb009,somewhat_dated,The footer copyright still reads 2019 and the news page's newest entry is from the same year.
needs_check,ProFlow Plumbing & Drain,(732) 555-0109,"1543 Route 27, Somerset, NJ 08873",Somerset,Plumber,https://www.proflowplumbingnj.com,4.7,203,https://www.google.com/maps/search/?api=1&query=ProFlow%20Plumbing%20%26%20Drain&query_place_id=ChIJa8Kw2vTGw4kRDemoPlumb010,ChIJa8Kw2vTGw4kRDemoPlumb010,not_a_lead,"Modern responsive site on HTTPS, current copyright, online booking - nothing to pitch."
needs_check,Reyes Sewer & Water Main,(848) 555-0111,"52 Throop Ave, New Brunswick, NJ 08901",New Brunswick,Plumber,https://www.reyessewernj.com,4.8,118,https://www.google.com/maps/search/?api=1&query=Reyes%20Sewer%20%26%20Water%20Main&query_place_id=ChIJe2My6xTGw4kRDemoPlumb012,ChIJe2My6xTGw4kRDemoPlumb012,not_a_lead,Recent responsive build with live chat and this year in the footer - healthy.
