place_id,name,address,phone,tier,niche,location,first_seen,status
ChIJgy0hvPa4w4kREWpTzAfDyGg,Elite Hair Styling,"147 Stelton Rd, Piscataway, NJ 08854",(732) 529-6238,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJiaCUF264w4kR0323BMxNZWs,Great Cuts Salon,"1390 Centennial Ave, Piscataway, NJ 08854",(732) 981-8155,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJwSgGPci4w4kRkTfpB0yc_-U,House of Blades II,"397 Park Ave, Piscataway, NJ 08854",,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJR0fSL03Hw4kReuX-8P3Fts8,Heights Haircutters,"14 Plainfield Ave Ste 2, Piscataway, NJ 08854",(732) 885-5550,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJE_kyQA-5w4kRfIoIdbiTB1Q,Finest Barber Shop,"600 William St, Piscataway, NJ 08854",(732) 369-3915,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJoadz5T-5w4kRa6IXbiLcywE,Brothers barber shop,"1330 W 7th St, Piscataway, NJ 08854",(908) 333-9080,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJrftz9Ki5w4kRMMoFssPsIf8,Haircuts and colors by Marta,"1390 Centennial Ave, Piscataway, NJ 08854",(908) 420-7017,no_website,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJQdFKlva4w4kRHad4WbvyzXU,Sweeney Todd Hair,"1619 Stelton Rd, Piscataway, NJ 08854",(732) 424-0338,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJ___Pvk24w4kRyu8IETb1Srg,Facelook Barber Shop,"2105 New Brunswick Ave, South Plainfield, NJ 07080",(732) 200-8010,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJQQYArv-4w4kR_sjkeOPIEKM,Capelli Salon,"443 S Washington Ave, Piscataway, NJ 08854",(732) 968-7666,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJO1Lz5e-5w4kRQ5yHqVcW7To,Jenny's Hair & Beauty Salon,"600 Stelton Rd, Piscataway, NJ 08854",(732) 424-6511,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJS6rhzvDHw4kRosAmkvUWSCU,Mehndi Beauty Salon,"1665 Stelton Rd # L, Piscataway, NJ 08854",(732) 777-9212,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJn1Umvv65w4kRCeZBRNcvxHw,Dina's Salon & Barbershop,"1297 Centennial Ave, Piscataway, NJ 08854",(732) 529-4000,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJ6UHwsbK5w4kRUd9lYsI0nuo,Hey Beautiful Hair Salon,"175 Stelton Rd, Piscataway, NJ 08854",(732) 200-8003,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJzS_IxFfHw4kRHJuRJ81yktQ,Creative Clips Barbershop Piscataway,"14 Plainfield Ave Ste 1, Piscataway, NJ 08854",(732) 369-3430,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
ChIJ78kMRYm5w4kRup5UWEMX56Q,Vintage Barbershop,"424 S Washington Ave, Piscataway, NJ 08854",(908) 293-1290,needs_check,hair salons and barbershops,"Piscataway, NJ",2026-09-02,
